Rank,Building,City,Height_m,Height_ft,Floors,DateComplete,Material,Use
1.0,Burj Khalifa,Dubai,828.0,"2,717",163.0,2010.0,steel/concrete,"office / residential /
hotel"
2.0,Shanghai Tower,Shanghai,632.0,"2,073",128.0,2015.0,composite,hotel / office
3.0,Makkah Royal C lock Tower,Mecca,601.0,"1,972",120.0,2012.0,steel/concrete,other / hotel
4.0,One World Trade C enter,New York C ity,541.3,"1,776",94.0,2014.0,composite,office
5.0,TAIPEI 101,Taipei,508.0,"1,667",101.0,2004.0,composite,office
6.0,Shanghai World Financial C enter,Shanghai,492.0,"1,614",101.0,2008.0,composite,hotel / office
7.0,International C ommerce C entre,Hong Kong,484.0,"1,588",108.0,2010.0,composite,hotel / office
8.0,Petronas Twin Tower 1,Kuala Lumpur,451.9,"1,483",88.0,1998.0,composite,office
8.0,Petronas Twin Tower 2,Kuala Lumpur,451.9,"1,483",88.0,1998.0,composite,office
10.0,Zifeng Tower,Nanjing,450.0,"1,476",66.0,2010.0,composite,hotel / office
11.0,Willis Tower,C hicago,442.1,"1,451",108.0,1974.0,steel,office
12.0,KK100,Shenzhen,441.8,"1,449",100.0,2011.0,composite,hotel / office
13.0,"Guangzhou International Finance
C enter",Guangzhou,438.6,"1,439",103.0,2010.0,composite,hotel / office
14.0,432 Park Avenue,New York C ity,425.5,"1,396",85.0,2015.0,concrete,residential
15.0,Trump International Hotel & Tower,C hicago,423.2,"1,389",98.0,2009.0,concrete,residential / hotel
16.0,Jin Mao Tower,Shanghai,420.5,"1,380",88.0,1999.0,composite,hotel / office
17.0,Princess Tower,Dubai,413.4,"1,356",101.0,2012.0,steel/concrete,residential
18.0,Al Hamra Tower,Kuwait C ity,412.6,"1,354",80.0,2011.0,concrete,office
19.0,Two International Finance C entre,Hong Kong,412.0,"1,352",88.0,2003.0,composite,office
20.0,23 Marina,Dubai,392.4,"1,287",88.0,2012.0,concrete,residential
21.0,C ITIC Plaza,Guangzhou,390.2,"1,280",80.0,1996.0,concrete,office
22.0,Shun Hing Square,Shenzhen,384.0,"1,260",69.0,1996.0,composite,office
23.0,Burj Mohammed Bin Rashid,Abu Dhabi,381.2,"1,251",88.0,2014.0,concrete,residential
24.0,Elite Residence,Dubai,380.5,"1,248",87.0,2012.0,concrete,residential
25.0,C entral Plaza,Hong Kong,373.9,"1,227",78.0,1992.0,concrete,office
26.0,Bank of C hina Tower,Hong Kong,367.4,"1,205",72.0,1990.0,composite,office
27.0,Bank of America Tower,New York C ity,365.8,"1,200",55.0,2009.0,composite,office
28.0,Almas Tower,Dubai,360.0,"1,181",68.0,2008.0,concrete,office
29.0,"JW Marriott Marquis Hotel Dubai
Tower 1",Dubai,355.4,"1,166",82.0,2012.0,concrete,hotel
29.0,"JW Marriott Marquis Hotel Dubai
Tower 2",Dubai,355.4,"1,166",82.0,2013.0,concrete,hotel
31.0,Emirates Tower One,Dubai,354.6,"1,163",54.0,2000.0,composite,office
32.0,OKO - Residential Tower,Moscow,353.6,"1,160",90.0,2015.0,concrete,residential / serviced apartments / hotel
33.0,The Torch,Dubai,352.0,"1,155",86.0,2011.0,concrete,residential
34.0,Forum 66 Tower 1,Shenyang,350.6,"1,150",68.0,2015.0,composite,hotel / office
35.0,The Pinnacle,Guangzhou,350.3,"1,149",60.0,2012.0,concrete,office
36.0,T & C Tower,Kaohsiung,347.5,"1,140",85.0,1997.0,composite,hotel / office / retail
37.0,Aon C enter,C hicago,346.3,"1,136",83.0,1973.0,steel,office
38.0,The C enter,Hong Kong,346.0,"1,135",73.0,1998.0,steel,office
39.0,John Hancock C enter,C hicago,343.7,"1,128",100.0,1969.0,steel,residential / office
40.0,ADNOC Headquarters,Abu Dhabi,342.0,"1,122",76.0,2015.0,concrete,office
41.0,Wuxi International Finance Square,Wuxi,339.0,"1,112",68.0,2014.0,composite,hotel / office
42.0,C hongqing World Financial C enter,C hongqing,338.9,"1,112",72.0,2015.0,composite,office
