Rank,Building,City,Height_m,Height_ft,Floors,DateComplete,Material,Use
43.0,Mercury C ity Tower,Moscow,338.8,"1,112",75.0,2013.0,concrete,residential / office
44.0,Tianjin World Financial C enter,Tianjin,336.9,"1,105",75.0,2011.0,composite,office
45.0,Shimao International Plaza,Shanghai,333.3,"1,094",60.0,2006.0,concrete,hotel / office / retail
46.0,Rose Rayhaan by Rotana,Dubai,333.0,"1,093",71.0,2007.0,composite,hotel
47.0,Minsheng Bank Building,Wuhan,331.0,"1,086",68.0,2008.0,steel,office
48.0,C hina World Tower,Beijing,330.0,"1,083",74.0,2010.0,composite,hotel / office
49.0,Keangnam Hanoi Landmark Tower,Hanoi,328.6,"1,078",72.0,2012.0,concrete,"hotel / residential /
office"
50.0,Longxi International Hotel,Jiangyin,328.0,"1,076",72.0,2011.0,composite,residential / hotel
51.0,Al Yaqoub Tower,Dubai,328.0,"1,076",69.0,2013.0,concrete,hotel / office
52.0,Wuxi Suning Plaza 1,Wuxi,328.0,"1,076",67.0,2014.0,composite,hotel / serviced apartments / office
53.0,The Index,Dubai,326.0,"1,070",80.0,2010.0,concrete,residential / office
54.0,The Landmark,Abu Dhabi,324.0,"1,063",72.0,2013.0,concrete,residential / office
55.0,Deji Plaza,Nanjing,324.0,"1,063",62.0,2013.0,composite,hotel / office
56.0,Q1 Tower,Gold C oast,322.5,"1,058",78.0,2005.0,concrete,residential
57.0,Wenzhou Trade C enter,Wenzhou,321.9,"1,056",68.0,2011.0,concrete,hotel / office
58.0,Burj Al Arab,Dubai,321.0,"1,053",56.0,1999.0,composite,hotel
59.0,Nina Tower,Hong Kong,320.4,"1,051",80.0,2006.0,concrete,hotel / office
60.0,New York Times Tower,New York C ity,318.8,"1,046",52.0,2007.0,steel,office
61.0,HHHR Tower,Dubai,317.6,"1,042",72.0,2010.0,concrete,residential
62.0,Nanjing International Youth C ultural C entre,Nanjing,314.5,"1,032",68.0,2015.0,composite,hotel / office
63.0,Bank of America Plaza,Atlanta,311.8,"1,023",55.0,1992.0,composite,office
64.0,Moi C enter Tower A,Shenyang,311.0,"1,020",75.0,2014.0,composite,hotel / office
65.0,U.S. Bank Tower,Los Angeles,310.3,"1,018",73.0,1990.0,steel,office
66.0,Ocean Heights,Dubai,310.0,"1,017",83.0,2010.0,concrete,residential
67.0,Menara TM,Kuala Lumpur,310.0,"1,017",55.0,2001.0,concrete,office
68.0,Pearl River Tower,Guangzhou,309.4,"1,015",71.0,2013.0,composite,office
69.0,Fortune C enter,Guangzhou,309.4,"1,015",68.0,2015.0,composite,office
70.0,Emirates Tower Two,Dubai,309.0,"1,014",56.0,2000.0,composite,hotel
71.0,Stalnaya Vershina,Moscow,308.9,"1,013",72.0,2015.0,composite,"residential / hotel /
office"
72.0,Burj Rafal,Riyadh,307.9,"1,010",68.0,2014.0,concrete,residential / hotel
73.0,The Franklin - North Tower,C hicago,306.9,"1,007",60.0,1989.0,composite,office
74.0,C ayan Tower,Dubai,306.4,"1,005",73.0,2013.0,concrete,residential
75.0,One57,New York C ity,306.1,"1,004",75.0,2014.0,steel/concrete,residential / hotel
76.0,East Pacific C enter Tower A,Shenzhen,306.0,"1,004",85.0,2013.0,composite,residential
77.0,The Shard,London,306.0,"1,004",73.0,2013.0,composite,"residential / hotel /
office"
78.0,JPMorgan C hase Tower,Houston,305.4,"1,002",75.0,1982.0,composite,office
79.0,Etihad Towers T2,Abu Dhabi,305.3,"1,002",80.0,2011.0,concrete,residential
80.0,Northeast Asia Trade Tower,Incheon,305.0,"1,001",68.0,2011.0,composite,"residential / hotel /
office"
81.0,Baiyoke Tower II,Bangkok,304.0,997.0,85.0,1997.0,concrete,hotel
82.0,Shenzhen C FC C hangfu C entre,Shenzhen,303.8,997.0,68.0,2016.0,composite,office
82.0,Wuxi Maoye C ity - Marriott Hotel,Wuxi,303.8,997.0,68.0,2014.0,composite,hotel
84.0,Two Prudential Plaza,C hicago,303.3,995.0,64.0,1990.0,concrete,office
85.0,"Diwang International Fortune
C enter",Liuzhou,303.0,994.0,75.0,2015.0,composite,"residential / hotel /
office"
86.0,Greenland Puli C enter,Jinan,303.0,994.0,61.0,2014.0,composite,office
87.0,"Jiangxi Nanchang Greenland C entral
Plaza 1",Nanchang,303.0,994.0,59.0,2015.0,composite,office
87.0,"Jiangxi Nanchang Greenland C entral
Plaza 2",Nanchang,303.0,994.0,59.0,2015.0,composite,office
89.0,Leatop Plaza,Guangzhou,302.7,993.0,64.0,2012.0,composite,office
90.0,Wells Fargo Plaza,Houston,302.4,992.0,71.0,1983.0,steel,office
91.0,Kingdom C entre,Riyadh,302.3,992.0,41.0,2002.0,steel/concrete,"residential / hotel /
office"
92.0,The Address,Dubai,302.2,991.0,63.0,2008.0,concrete,residential / hotel
93.0,C apital C ity Moscow Tower,Moscow,301.8,990.0,76.0,2010.0,concrete,residential
94.0,Shenzhen Zhongzhou Holdings Financial C enter,Shenzhen,300.8,987.0,61.0,2014.0,steel,hotel / office
95.0,"Doosan Haeundae We've the Zenith
Tower A",Busan,300.0,984.0,80.0,2011.0,concrete,residential
96.0,Torre C ostanera,Santiago,300.0,984.0,62.0,2014.0,concrete,office
97.0,Abeno Harukas,Osaka,300.0,984.0,60.0,2014.0,steel,hotel / office / retail
97.0,Arraya Tower,Kuwait C ity,300.0,984.0,60.0,2009.0,concrete,office
99.0,Aspire Tower,Doha,300.0,984.0,36.0,2007.0,composite,hotel / office
100.0,First C anadian Place,Toronto,298.1,978.0,72.0,1975.0,steel,office
101.0,One Island East,Hong Kong,298.1,978.0,68.0,2008.0,concrete,office
102.0,4 World Trade C enter,New York C ity,297.7,977.0,65.0,2014.0,composite,office
103.0,Eureka Tower,Melbourne,297.3,975.0,91.0,2006.0,concrete,residential
104.0,C omcast C enter,Philadelphia,296.7,974.0,57.0,2008.0,composite,office
105.0,Landmark Tower,Yokohama,296.3,972.0,73.0,1993.0,steel,hotel / office
106.0,R&F Yingkai Square,Guangzhou,296.2,972.0,66.0,2014.0,composite,"residential / hotel /
office"
107.0,Emirates C rown,Dubai,296.0,971.0,63.0,2008.0,concrete,residential
108.0,Xiamen Shimao Straits Tower B,Xiamen,295.3,969.0,67.0,2015.0,composite,office
109.0,Khalid Al Attar Tower 2,Dubai,294.0,965.0,66.0,2011.0,concrete,hotel
110.0,311 South Wacker Drive,C hicago,292.9,961.0,65.0,1990.0,concrete,office
111.0,Sky Tower,Abu Dhabi,292.2,959.0,74.0,2010.0,concrete,residential / office
112.0,Haeundae I Park Marina Tower 2,Busan,292.1,958.0,72.0,2011.0,composite,residential
113.0,SEG Plaza,Shenzhen,291.6,957.0,71.0,2000.0,concrete,office
114.0,Dongguan TBA Tower,Dongguan,289.0,948.0,68.0,2013.0,composite,hotel / office
115.0,Busan International Finance C enter Landmark Tower,Busan,289.0,948.0,63.0,2014.0,concrete,office
116.0,Key Tower,C leveland,288.6,947.0,57.0,1991.0,composite,office
117.0,Plaza 66,Shanghai,288.2,945.0,66.0,2001.0,concrete,office
118.0,One Liberty Place,Philadelphia,288.0,945.0,61.0,1987.0,steel,office
119.0,Sulafa Tower,Dubai,288.0,945.0,76.0,2010.0,concrete,residential
120.0,Kaisa C enter,Huizhou,288.0,945.0,66.0,2015.0,concrete,hotel / office
121.0,Yingli International Finance C entre,C hongqing,288.0,945.0,58.0,2012.0,concrete,office
122.0,Shaoxing Shimao C rowne Plaza,Shaoxing,288.0,945.0,55.0,2012.0,composite,hotel / office
123.0,"Soochow International Plaza East
Tower",Huzhou,288.0,945.0,50.0,2014.0,composite,hotel / office
123.0,"Soochow International Plaza West
Tower",Huzhou,288.0,945.0,50.0,2014.0,composite,residential
125.0,United International Mansion,C hongqing,287.0,942.0,67.0,2013.0,concrete,office
126.0,HNA&POLY International C entre,C hongqing,286.8,941.0,61.0,2013.0,concrete,office / hotel / retail
127.0,Millennium Tower,Dubai,285.0,935.0,59.0,2006.0,concrete,residential
128.0,Tomorrow Square,Shanghai,284.6,934.0,60.0,2003.0,concrete,"residential / hotel /
office"
129.0,C olumbia C enter,Seattle,284.4,933.0,76.0,1984.0,composite,office
130.0,D1 Tower,Dubai,284.0,932.0,80.0,2015.0,concrete,residential
131.0,"Trump Ocean C lub International
Hotel & Tower",Panama C ity,284.0,932.0,70.0,2011.0,concrete,"residential / hotel /
casino"
132.0,Three International Finance C enter,Seoul,284.0,932.0,55.0,2012.0,composite,office
133.0,C hongqing World Trade C enter,C hongqing,283.1,929.0,60.0,2005.0,concrete,office
134.0,C heung Kong C entre,Hong Kong,282.8,928.0,63.0,1999.0,steel,office
135.0,C ity of Lights C 1 Tower,Abu Dhabi,282.1,926.0,62.0,2015.0,concrete,office
136.0,Al Hekma Tower,Dubai,282.0,925.0,64.0,2015.0,steel/concrete,office
137.0,Suzhou RunHua Global Building A,Suzhou,282.0,925.0,49.0,2010.0,composite,office
138.0,"Doosan Haeundae We've the Zenith
Tower B",Busan,281.5,924.0,75.0,2011.0,concrete,residential
139.0,Bank of America Plaza,Dallas,280.7,921.0,72.0,1985.0,composite,office
140.0,Torre Vitri,Panama C ity,280.7,921.0,75.0,2012.0,concrete,residential
141.0,Marina Pinnacle,Dubai,280.0,919.0,73.0,2011.0,concrete,residential
142.0,United Overseas Bank Plaza One,Singapore,280.0,919.0,66.0,1992.0,steel,office
143.0,Excellence C entury Plaza Tower 1,Shenzhen,280.0,919.0,60.0,2010.0,composite,office
144.0,Zhengzhou Greenland Plaza,Zhengzhou,280.0,919.0,56.0,2014.0,composite,hotel / office
145.0,Eton Place Dalian Tower 2,Dalian,279.5,917.0,62.0,2015.0,composite,residential / office
146.0,Abraj Al Bait ZamZam Tower,Mecca,279.0,915.0,58.0,2012.0,concrete,hotel
147.0,C itigroup C enter,New York C ity,278.9,915.0,63.0,1977.0,steel,office
148.0,Hong Kong New World Tower,Shanghai,278.3,913.0,59.0,2004.0,composite,hotel / office / retail
149.0,World Trade C enter Abu Dhabi - The Offices,Abu Dhabi,278.0,912.0,60.0,2014.0,concrete,office
150.0,Overseas Union Bank C entre,Singapore,277.8,911.0,63.0,1986.0,steel,office
151.0,Etihad Towers T1,Abu Dhabi,277.6,911.0,69.0,2011.0,concrete,hotel / residential
152.0,"Trump International Hotel & Tower
Toronto",Toronto,276.9,908.0,63.0,2012.0,concrete,residential / hotel
153.0,Republic Plaza,Singapore,276.3,906.0,66.0,1996.0,composite,office
154.0,Abraj Al Bait Hajar Tower,Mecca,276.0,906.0,54.0,2012.0,concrete,hotel
154.0,"Diwang International C ommerce
C enter",Nanning,276.0,906.0,54.0,2006.0,concrete,hotel / office
156.0,Scotia Tower,Toronto,275.0,902.0,68.0,1988.0,composite,office
157.0,Riverside C entury Plaza Main Tower,Wuhu,275.0,902.0,66.0,2015.0,composite,hotel / office
158.0,Williams Tower,Houston,274.6,901.0,64.0,1982.0,steel,office
159.0,Ilham Tower,Kuala Lumpur,274.0,899.0,58.0,2015.0,concrete,residential / office
160.0,"Nantong Zhongnan International
Plaza",Nantong,273.3,897.0,53.0,2011.0,steel/concrete,residential / office
161.0,Wuhan World Trade Tower,Wuhan,273.0,896.0,60.0,1998.0,,office
162.0,NEO Tower A,Shenzhen,273.0,896.0,56.0,2011.0,concrete,office
162.0,"Shimao International C enter Office
Tower",Fuzhou,273.0,896.0,56.0,2013.0,composite,office
164.0,Haeundae I Park Marina Tower 1,Busan,272.9,895.0,66.0,2011.0,composite,residential
165.0,Lotte C enter Hanoi,Hanoi,272.0,892.0,65.0,2014.0,composite,"residential / office /
hotel"
166.0,Aura at C ollege Park,Toronto,271.9,892.0,78.0,2014.0,concrete,residential
167.0,Shanghai Wheelock Square,Shanghai,270.5,887.0,55.0,2010.0,concrete,office
168.0,Renaissance Tower,Dallas,270.1,886.0,56.0,1986.0,steel,office
169.0,Bohai Bank Tower,Tianjin,270.0,886.0,55.0,2015.0,composite,office
170.0,The C ullinan I,Hong Kong,269.9,886.0,68.0,2008.0,concrete,residential
170.0,The C ullinan II,Hong Kong,269.9,886.0,68.0,2008.0,concrete,residential / hotel
172.0,Four Seasons Hotel,Manama,269.7,885.0,50.0,2015.0,concrete,hotel
173.0,C hina International C enter Tower B,Guangzhou,269.5,884.0,62.0,2007.0,concrete,office
174.0,One Lujiazui,Shanghai,269.0,883.0,47.0,2008.0,concrete,office
175.0,Radisson Royal Hotel Dubai,Dubai,269.0,883.0,60.0,2010.0,concrete,hotel
176.0,21st C entury Tower,Dubai,269.0,883.0,55.0,2003.0,steel/concrete,residential
177.0,Tongde Kunming Plaza,Kunming,269.0,883.0,54.0,2015.0,composite,hotel / office
178.0,Naberezhnaya Tower Block C,Moscow,268.4,881.0,61.0,2007.0,composite,office
179.0,Nation Towers Residential Lofts,Abu Dhabi,268.0,879.0,64.0,2012.0,concrete,residential
180.0,Suzhou C enter,Suzhou,268.0,879.0,52.0,2013.0,concrete,hotel / office
181.0,"Jiangxi Nanchang Greenland Zifeng
Tower",Nanchang,268.0,879.0,56.0,2015.0,composite,hotel / office
182.0,Bank of Guangzhou Tower,Guangzhou,267.8,878.0,57.0,2012.0,concrete,office
183.0,Bicsa Financial C enter,Panama C ity,267.0,876.0,66.0,2013.0,concrete,hotel / office
184.0,Fortune Financial C enter,Beijing,267.0,876.0,60.0,2014.0,composite,office
184.0,Petronas Tower 3,Kuala Lumpur,267.0,876.0,60.0,2012.0,concrete,office
186.0,Al Faisaliah C enter,Riyadh,266.9,876.0,30.0,2000.0,steel/concrete,office / hotel
187.0,The Point,Panama C ity,266.0,873.0,67.0,2011.0,concrete,residential
188.0,Bank of America C orporate C enter,C harlotte,265.5,871.0,60.0,1992.0,concrete,office
189.0,Eight Spruce Street,New York C ity,265.2,870.0,76.0,2011.0,concrete,residential
190.0,C hangzhou Modern Media C enter,C hangzhou,265.1,870.0,58.0,2013.0,composite,"residential / hotel /
office"
191.0,"Doosan Haeundae We've the Zenith
Tower C",Busan,265.0,869.0,70.0,2011.0,concrete,residential
192.0,900 North Michigan Avenue,C hicago,265.0,869.0,66.0,1989.0,concrete/steel,"residential / office /
hotel / retail"
193.0,Business C entral Tower 1,Dubai,265.0,869.0,53.0,2008.0,concrete,office
193.0,Business C entral Tower 2,Dubai,265.0,869.0,53.0,2008.0,concrete,office
195.0,WBC The Palace 1,Busan,265.0,869.0,51.0,2011.0,concrete,residential
195.0,WBC The Palace 2,Busan,265.0,869.0,51.0,2011.0,concrete,residential
197.0,120 C ollins Street,Melbourne,264.9,869.0,52.0,1991.0,concrete,office
198.0,SunTrust Plaza,Atlanta,264.3,867.0,60.0,1992.0,concrete,office
199.0,Triumph Palace,Moscow,264.1,866.0,61.0,2005.0,concrete,hotel / residential
200.0,PTJ International Finance C enter,Wuhan,264.0,866.0,56.0,2014.0,composite,hotel / office
201.0,"Tower Palace Three, Tower G",Seoul,263.7,865.0,73.0,2004.0,composite,residential
202.0,U-Bora Tower 1,Dubai,262.8,862.0,58.0,2011.0,concrete,office
203.0,Bitexco Financial Tower,Ho C hi Minh C ity,262.5,861.0,68.0,2010.0,concrete,office
204.0,Trump World Tower,New York C ity,262.4,861.0,72.0,2001.0,concrete,residential
205.0,Wisma 46,Jakarta,261.9,859.0,46.0,1996.0,concrete,office
206.0,Water Tower Place,C hicago,261.9,859.0,74.0,1976.0,concrete,"residential / hotel /
retail"
207.0,66 Tower 1,Shanghai,261.8,859.0,54.0,2005.0,concrete,office
207.0,66 Tower 2,Shanghai,261.8,859.0,54.0,2005.0,concrete,office
209.0,Aqua,C hicago,261.8,859.0,86.0,2009.0,concrete,residential / hotel
210.0,Aon C enter,Los Angeles,261.5,858.0,62.0,1974.0,steel,office
211.0,East Pacific C enter Tower B,Shenzhen,261.0,856.0,72.0,2013.0,composite,residential
212.0,Sapphire Tower,Istanbul,261.0,856.0,55.0,2010.0,concrete,residential
213.0,Brookfield Place,Toronto,260.9,856.0,53.0,1990.0,composite,office
214.0,Etihad Towers T3,Abu Dhabi,260.3,854.0,60.0,2011.0,concrete,office
215.0,Guangdong Telecom Plaza,Guangzhou,260.0,853.0,68.0,2002.0,concrete,office
216.0,Vision Tower,Dubai,260.0,853.0,60.0,2011.0,concrete,office
217.0,SunnyWorld C enter,Shenyang,260.0,853.0,59.0,2014.0,concrete,hotel / office
218.0,Jing An Kerry C entre Tower 2,Shanghai,260.0,853.0,58.0,2013.0,composite,hotel / office
219.0,Yuyang Tower,Fuzhou,260.0,853.0,56.0,2014.0,composite,office
220.0,"Beijing Greenland Dawangjing
Tower",Beijing,260.0,853.0,55.0,2016.0,composite,"serviced apartments /
office"
221.0,Dual Towers 1,Manama,260.0,853.0,53.0,2007.0,concrete,office
221.0,Dual Towers 2,Manama,260.0,853.0,53.0,2007.0,concrete,office
223.0,101 C ollins Street,Melbourne,260.0,853.0,50.0,1991.0,composite,office
224.0,Transamerica Pyramid,San Francisco,260.0,853.0,48.0,1972.0,composite,office
225.0,Shenzhen Special Zone Daily Tower,Shenzhen,260.0,853.0,42.0,1998.0,concrete,office
226.0,Shanghai IFC North Tower,Shanghai,259.9,853.0,56.0,2010.0,composite,office
227.0,C hase Tower,C hicago,259.1,850.0,60.0,1969.0,steel,office
228.0,C ommerzbank Tower,Frankfurt am Main,259.0,850.0,56.0,1997.0,composite,office
229.0,Philippine Bank of C ommunications,Makati,258.6,848.0,55.0,2000.0,steel/concrete,office
230.0,Two Liberty Place,Philadelphia,258.5,848.0,58.0,1990.0,steel,residential / office
231.0,Tamkeen Tower,Riyadh,258.2,847.0,58.0,2012.0,steel/concrete,office
232.0,The River South Tower,Bangkok,258.0,846.0,74.0,2012.0,concrete,residential
233.0,Lanko Grand Hyatt Hotel,C hongqing,258.0,846.0,60.0,2005.0,concrete,hotel / retail
234.0,Heilan Fortune C enter,Jiangyin,258.0,846.0,59.0,2015.0,composite,office
234.0,Sahid Sudirman C enter,Jakarta,258.0,846.0,59.0,2015.0,concrete,office
236.0,"Lanko C onference & Exhibition
International P…",C hongqing,258.0,846.0,54.0,2010.0,concrete,office / retail
237.0,The Metropolitan Office Tower,Tianjin,258.0,846.0,53.0,2013.0,composite,office
238.0,Zhe Jiang Fortune Financial C enter - Tower 1,Hangzhou,258.0,846.0,52.0,2011.0,composite,office
239.0,"Radisson Plaza Hotel Xiaoshan
Tower 1",Hangzhou,258.0,846.0,50.0,2013.0,composite,hotel
240.0,Grand Lisboa,Macau,258.0,846.0,48.0,2008.0,steel/concrete,hotel / casino
241.0,Park Tower,C hicago,257.4,844.0,68.0,2000.0,concrete,residential / hotel
242.0,Devon Energy C enter,Oklahoma C ity,257.2,844.0,52.0,2012.0,concrete,office
243.0,C apital C ity St. Petersburg Tower,Moscow,257.2,844.0,65.0,2010.0,concrete,residential
244.0,The Masterpiece,Hong Kong,257.0,843.0,64.0,2009.0,concrete,residential / hotel
245.0,Ningbo Global Shipping Plaza,Ningbo,256.8,843.0,52.0,2015.0,composite,office
246.0,MesseTurm,Frankfurt am Main,256.5,842.0,64.0,1990.0,concrete,office
247.0,Sorrento 1,Hong Kong,256.4,841.0,75.0,2003.0,concrete,residential
248.0,U.S. Steel Tower,Pittsburgh,256.3,841.0,64.0,1970.0,steel,office
249.0,Mokdong Hyperion Tower A,Seoul,256.0,840.0,69.0,2003.0,concrete,residential
250.0,The Imperial I,Mumbai,256.0,840.0,60.0,2010.0,concrete,residential
250.0,The Imperial II,Mumbai,256.0,840.0,60.0,2010.0,concrete,residential
252.0,Rinku Gate Tower,Izumisano,256.0,840.0,56.0,1996.0,concrete/steel,hotel / office
253.0,Osaka World Trade C enter,Osaka,256.0,840.0,55.0,1995.0,steel,office
254.0,C orporate Avenue 2,C hongqing,255.8,839.0,47.0,2014.0,composite,office
255.0,Toranomon Hills,Tokyo,255.5,838.0,52.0,2014.0,steel,"hotel / residential /
office"
256.0,C apital Tower,Singapore,255.4,838.0,52.0,2000.0,composite,office
257.0,New C entury Plaza Tower 1,Nanjing,255.2,837.0,48.0,2006.0,concrete,office
258.0,Langham Place Office Tower,Hong Kong,255.1,837.0,59.0,2004.0,concrete,office
259.0,"Nanjing International Youth C ultural
C entre T…",Nanjing,255.0,837.0,61.0,2015.0,composite,hotel
260.0,Prima Pearl Apartments,Melbourne,254.0,833.0,72.0,2014.0,concrete,residential
261.0,Shenzhen AVIC Plaza,Shenzhen,254.0,833.0,52.0,2012.0,steel/concrete,office
262.0,Harbour Hotel and Residence Dubai,Dubai,253.8,833.0,63.0,2007.0,concrete,residential
263.0,Raffles Hotel,Jakarta,253.3,831.0,52.0,2015.0,concrete,residential / hotel
264.0,Al Fardan Residences,Doha,253.3,831.0,64.0,2009.0,concrete,residential
265.0,C hengjieyi C enter,Huizhou,253.0,830.0,-,2015.0,composite,residential / office
266.0,Highcliff,Hong Kong,252.3,828.0,73.0,2003.0,concrete,residential
267.0,The Pakubuwono Signature,Jakarta,252.0,827.0,50.0,2014.0,concrete,residential
268.0,"Bank of Shanghai Headquarters
Building",Shanghai,252.0,827.0,46.0,2005.0,composite,office
269.0,C onrad Dubai,Dubai,251.2,824.0,51.0,2013.0,concrete,hotel / office
270.0,The Harbourside,Hong Kong,251.2,824.0,73.0,2003.0,concrete,residential
271.0,Rialto Towers,Melbourne,251.1,824.0,63.0,1986.0,concrete,office
272.0,Jiali Plaza,Wuhan,251.0,823.0,57.0,1997.0,concrete,office
273.0,5 Taian Dao,Tianjin,250.8,823.0,45.0,2015.0,composite,office
274.0,Hunter Douglas International Plaza,Guiyang,250.3,821.0,59.0,2015.0,composite,hotel / office
275.0,Skysuites @ Anson Enggor Street,Singapore,250.0,820.0,72.0,2014.0,concrete,residential
276.0,Altez @ Enggor Street,Singapore,250.0,820.0,62.0,2014.0,concrete,residential
277.0,Excellence C entury Plaza Tower 2,Shenzhen,250.0,820.0,57.0,2010.0,composite,hotel / office
278.0,C helsea Tower,Dubai,250.0,820.0,49.0,2005.0,concrete,residential / hotel
279.0,C enter 66 Office 1,Wuxi,250.0,820.0,44.0,2014.0,composite,office / retail
280.0,Beijing Yintai C entre - Park Tower,Beijing,249.9,820.0,63.0,2008.0,steel,residential / hotel
281.0,One Atlantic C enter,Atlanta,249.9,820.0,50.0,1987.0,composite,office
282.0,Xiamen Shimao Straits Tower A,Xiamen,249.9,820.0,59.0,2015.0,composite,"residential / hotel /
office"
283.0,Shanghai IFC South Tower,Shanghai,249.9,820.0,48.0,2009.0,composite,hotel / office
284.0,Haihang International Plaza Tower A,Haikou,249.8,820.0,54.0,2014.0,composite,hotel / office
285.0,KLI 63 Building,Seoul,249.6,819.0,60.0,1985.0,steel,office
286.0,The Legacy at Millennium Park,C hicago,249.3,818.0,73.0,2010.0,concrete,residential
287.0,"Xinjiekou Department Store Phase
2",Nanjing,249.0,817.0,60.0,2009.0,composite,office
288.0,C hina Merchants Bank Tower,Shenzhen,249.0,817.0,53.0,2001.0,steel,office
288.0,Yunfu Tower,Wuxi,249.0,817.0,53.0,2015.0,composite,office
290.0,C entral Park Tower,Perth,249.0,817.0,52.0,1992.0,concrete,office
291.0,Torre de C ristal,Madrid,249.0,817.0,50.0,2008.0,concrete,office
292.0,0.0,Brisbane,249.0,817.0,81.0,2014.0,concrete,residential
293.0,Hwaseong Dongtan Metapolis 101,Hwaseong,248.7,816.0,66.0,2010.0,concrete,residential
294.0,Ahuja Towers,Mumbai,248.5,815.0,54.0,2016.0,steel/concrete,residential
295.0,Torre C epsa,Madrid,248.3,815.0,49.0,2008.0,composite,office
296.0,C itySpire,New York C ity,248.1,814.0,75.0,1987.0,concrete,residential / office
297.0,RunHua International Building,Wuxi,248.0,814.0,55.0,2009.0,concrete,"residential / hotel /
office"
298.0,Hongdou International Plaza,Wuxi,248.0,814.0,45.0,2009.0,concrete,residential / office
299.0,Hangzhou Telecom Mansion,Hangzhou,248.0,814.0,41.0,2003.0,concrete,office
