Rank,Building,City,Height_m,Height_ft,Floors,DateComplete,Material,Use,city_ns,lat,lon
1.0,Burj Khalifa,Dubai,828.0,"2,717",163.0,2010.0,steel/concrete,"office / residential /
hotel",dubai,25.1951248,55.275305
2.0,Shanghai Tower,Shanghai,632.0,"2,073",128.0,2015.0,composite,hotel / office,shanghai,31.23,121.449
3.0,Makkah Royal C lock Tower,Mecca,601.0,"1,972",120.0,2012.0,steel/concrete,other / hotel,mecca,21.3890824,39.8579118
4.0,One World Trade C enter,New York C ity,541.3,"1,776",94.0,2014.0,composite,office,newyorkcity,40.7129485,-74.0131606
5.0,TAIPEI 101,Taipei,508.0,"1,667",101.0,2004.0,composite,office,taipei,25.0375167,121.5637
6.0,Shanghai World Financial C enter,Shanghai,492.0,"1,614",101.0,2008.0,composite,hotel / office,shanghai,31.2346983,121.5075588
7.0,International C ommerce C entre,Hong Kong,484.0,"1,588",108.0,2010.0,composite,hotel / office,hongkong,22.3033809,114.1602306
8.0,Petronas Twin Tower 1,Kuala Lumpur,451.9,"1,483",88.0,1998.0,composite,office,kualalumpur,3.1577405,101.712167
8.0,Petronas Twin Tower 2,Kuala Lumpur,451.9,"1,483",88.0,1998.0,composite,office,kualalumpur,3.1577405,101.712167
10.0,Zifeng Tower,Nanjing,450.0,"1,476",66.0,2010.0,composite,hotel / office,nanjing,32.062472,118.778056
11.0,Willis Tower,C hicago,442.1,"1,451",108.0,1974.0,steel,office,chicago,41.8788847,-87.6358782
12.0,KK100,Shenzhen,441.8,"1,449",100.0,2011.0,composite,hotel / office,shenzhen,22.543096,114.057865
13.0,"Guangzhou International Finance
C enter",Guangzhou,438.6,"1,439",103.0,2010.0,composite,hotel / office,guangzhou,23.12911,113.264385
14.0,432 Park Avenue,New York C ity,425.5,"1,396",85.0,2015.0,concrete,residential,newyorkcity,40.7616335,-73.9717988
15.0,Trump International Hotel & Tower,C hicago,423.2,"1,389",98.0,2009.0,concrete,residential / hotel,chicago,41.8888655,-87.6264397
16.0,Jin Mao Tower,Shanghai,420.5,"1,380",88.0,1999.0,composite,hotel / office,shanghai,31.230416,121.473701
17.0,Princess Tower,Dubai,413.4,"1,356",101.0,2012.0,steel/concrete,residential,dubai,25.088625,55.146858
18.0,Al Hamra Tower,Kuwait C ity,412.6,"1,354",80.0,2011.0,concrete,office,kuwaitcity,29.3787588,47.9933291
19.0,Two International Finance C entre,Hong Kong,412.0,"1,352",88.0,2003.0,composite,office,hongkong,22.285,114.159167
20.0,23 Marina,Dubai,392.4,"1,287",88.0,2012.0,concrete,residential,dubai,25.089806,55.150633
21.0,C ITIC Plaza,Guangzhou,390.2,"1,280",80.0,1996.0,concrete,office,guangzhou,23.1418291,113.3247665
22.0,Shun Hing Square,Shenzhen,384.0,"1,260",69.0,1996.0,composite,office,shenzhen,22.545278,114.105833
23.0,Burj Mohammed Bin Rashid,Abu Dhabi,381.2,"1,251",88.0,2014.0,concrete,residential,abudhabi,24.4872171,54.3576741
24.0,Elite Residence,Dubai,380.5,"1,248",87.0,2012.0,concrete,residential,dubai,25.0895175,55.1478915
25.0,C entral Plaza,Hong Kong,373.9,"1,227",78.0,1992.0,concrete,office,hongkong,22.449131,114.1665911
26.0,Bank of C hina Tower,Hong Kong,367.4,"1,205",72.0,1990.0,composite,office,hongkong,22.2792492,114.1615663
27.0,Bank of America Tower,New York C ity,365.8,"1,200",55.0,2009.0,composite,office,newyorkcity,40.7556029,-73.9849313
28.0,Almas Tower,Dubai,360.0,"1,181",68.0,2008.0,concrete,office,dubai,25.0689836,55.1412048
29.0,"JW Marriott Marquis Hotel Dubai
Tower 1",Dubai,355.4,"1,166",82.0,2012.0,concrete,hotel,dubai,25.1856,55.2566
29.0,"JW Marriott Marquis Hotel Dubai
Tower 2",Dubai,355.4,"1,166",82.0,2013.0,concrete,hotel,dubai,25.1856,55.2566
31.0,Emirates Tower One,Dubai,354.6,"1,163",54.0,2000.0,composite,office,dubai,25.2048493,55.2707828
32.0,OKO - Residential Tower,Moscow,353.6,"1,160",90.0,2015.0,concrete,residential / serviced apartments / hotel,moscow,55.755826,37.6173
33.0,The Torch,Dubai,352.0,"1,155",86.0,2011.0,concrete,residential,dubai,25.087942,55.1475
34.0,Forum 66 Tower 1,Shenyang,350.6,"1,150",68.0,2015.0,composite,hotel / office,shenyang,41.805699,123.431472
35.0,The Pinnacle,Guangzhou,350.3,"1,149",60.0,2012.0,concrete,office,guangzhou,23.12911,113.264385
36.0,T & C Tower,Kaohsiung,347.5,"1,140",85.0,1997.0,composite,hotel / office / retail,kaohsiung,22.6272784,120.3014353
37.0,Aon C enter,C hicago,346.3,"1,136",83.0,1973.0,steel,office,chicago,41.8852828,-87.6215122
38.0,The C enter,Hong Kong,346.0,"1,135",73.0,1998.0,steel,office,hongkong,22.284722,114.154444
39.0,John Hancock C enter,C hicago,343.7,"1,128",100.0,1969.0,steel,residential / office,chicago,41.8988084,-87.6230792
40.0,ADNOC Headquarters,Abu Dhabi,342.0,"1,122",76.0,2015.0,concrete,office,abudhabi,24.492139,54.3757354
41.0,Wuxi International Finance Square,Wuxi,339.0,"1,112",68.0,2014.0,composite,hotel / office,wuxi,0.0,0.0
42.0,C hongqing World Financial C enter,C hongqing,338.9,"1,112",72.0,2015.0,composite,office,chongqing,0.0,0.0
43.0,Mercury C ity Tower,Moscow,338.8,"1,112",75.0,2013.0,concrete,residential / office,moscow,55.750556,37.539611
44.0,Tianjin World Financial C enter,Tianjin,336.9,"1,105",75.0,2011.0,composite,office,tianjin,39.1294283,117.199215
45.0,Shimao International Plaza,Shanghai,333.3,"1,094",60.0,2006.0,concrete,hotel / office / retail,shanghai,31.2343223,121.4757893
46.0,Rose Rayhaan by Rotana,Dubai,333.0,"1,093",71.0,2007.0,composite,hotel,dubai,25.211667,55.276389
